"id","sessionDate","sessionType","studentId","teacherId","halaqahId","startPage","endPage","totalPages","score","notes","recommendation","isApprovedForNextStep","createdAt","updatedAt"
"cmngoqtl6000x2rqh4o7xjqe4","2026-04-02 00:00:00","ZIYADAH","cmnfdz2bz000y2spz5skmlcyp","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","280","283","4","92","Al Isro' 11, 15,  ","CONTINUE",,"2026-04-01 23:37:04.843","2026-04-01 23:37:04.843"
"cmngp4rah000z2rqhrc68bkxj","2026-04-02 00:00:00","ZIYADAH","cmnfdtsm8000j2spzqjrqifoe","cmndr9ruq0001dh0szijmq8re","cmnf6imto00022rtxxyk7klzi","95","95","1","80","","CONTINUE",,"2026-04-01 23:47:55.049","2026-04-01 23:47:55.049"
"cmngp4s4x00102rqhodnhfh3q","2026-04-02 00:00:00","ZIYADAH","cmnfdzgpz000z2spzvbugn0zz","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","305","306","2","92","Maryam 16, 48","CONTINUE",,"2026-04-01 23:47:56.145","2026-04-01 23:47:56.145"
"cmnh7ygr700122rqhu2j6chhn","2026-04-02 00:00:00","ZIYADAH","cmnfdwj0i000s2spzxarxkain","cmnf6mdt700082rtx1dccy93g","cmnf6npd6000b2rtxl2cwo2nn","302","312","11","95","","CONTINUE",,"2026-04-02 08:34:54.163","2026-04-02 12:35:48.395"
"cmnh8fjau00132rqhko1k1g6y","2026-04-02 00:00:00","MURAJAAH_KUBRO","cmnfd8w9t00032spzc7cfzc87","cmnf86zub00112rtxrirmt2n3","cmnf89gxi00142rtx8aw6wu4n","482","501","20","95","Ada kesalahan di 3 tempat: 
1. Pada halaman 492 وسئل من أرسلنا من قبلك  yaitu kurang min. 
2. Pada halaman 498 kelebihan kata kana  إن يوم الفصل .  
3. Pada halaman 501 salah pengucapan ولله ملك","CONTINUE",,"2026-04-02 08:48:10.614","2026-04-02 10:47:25.709"
"cmnh8krh200142rqhgfmmf1xk","2026-04-02 00:00:00","MURAJAAH_KUBRO","cmnfcqv5e00002spz9kogbd8b","cmndr9ruq0001dh0szijmq8re","cmnf6imto00022rtxxyk7klzi","341","421","81","95","Mandiri","CONTINUE",,"2026-04-02 08:52:14.486","2026-04-02 08:52:14.486"
"cmnh8nin600162rqhot1nrsdq","2026-04-02 00:00:00","ZIYADAH","cmnfduhhb000m2spzo25ahi6o","cmndr9ruq0001dh0szijmq8re","cmnf6imto00022rtxxyk7klzi","310","313","4","95","","CONTINUE",,"2026-04-02 08:54:23.01","2026-04-02 08:54:23.01"
"cmnh8ocio00172rqhd5guzojh","2026-04-02 00:00:00","MURAJAAH_KUBRO","cmnfduhhb000m2spzo25ahi6o","cmndr9ruq0001dh0szijmq8re","cmnf6imto00022rtxxyk7klzi","242","281","40","90","","CONTINUE",,"2026-04-02 08:55:01.728","2026-04-02 08:55:01.728"
"cmnh8p6n100182rqhgg92tccv","2026-04-02 00:00:00","MURAJAAH_SHUGHRA","cmnfduhhb000m2spzo25ahi6o","cmndr9ruq0001dh0szijmq8re","cmnf6imto00022rtxxyk7klzi","282","313","32","80","","CONTINUE",,"2026-04-02 08:55:40.765","2026-04-02 08:55:40.765"
"cmnh8qibq00192rqhah87p8y1","2026-04-02 00:00:00","MURAJAAH_SHUGHRA","cmnfdu432000l2spzwbc1p079","cmndr9ruq0001dh0szijmq8re","cmnf6imto00022rtxxyk7klzi","202","301","100","95","","CONTINUE",,"2026-04-02 08:56:42.566","2026-04-02 08:56:42.566"
