"id","sessionDate","sessionType","studentId","teacherId","halaqahId","startPage","endPage","totalPages","score","notes","recommendation","isApprovedForNextStep","createdAt","updatedAt"
"cmnhcc4ji001u2rqh8bv7c75n","2026-04-02 00:00:00","ZIYADAH","cmnfdatg500082spz2912fv2n","cmnf88b5900132rtxnuxu0cis","cmnf8a7qk00152rtxmge5mb0s","342","361","20","90","keliru 3 kali 1 kata, dan ada juga satu huruf dalan ayat yang berbeda.","CONTINUE",,"2026-04-02 10:37:29.982","2026-04-02 10:37:29.982"
"cmni2d83j00022ssk8fbtiziv","2026-04-03 00:00:00","ZIYADAH","cmnfe121w00132spzy02jx7cu","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","307","309","3","96","Setoran yang ke 2, Maryam 59","CONTINUE",,"2026-04-02 22:46:11.263","2026-04-02 23:43:54.299"
"cmni2q5bv00032sskjlbw6176","2026-04-03 00:00:00","ZIYADAH","cmnfdzgpz000z2spzvbugn0zz","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","307","310","4","96","Maryam 66","CONTINUE",,"2026-04-02 22:56:14.203","2026-04-02 22:56:14.203"
"cmni309fj00042sskb3h5ucyv","2026-04-03 00:00:00","ZIYADAH","cmnfduhhb000m2spzo25ahi6o","cmndr9ruq0001dh0szijmq8re","cmnf6imto00022rtxxyk7klzi","310","317","8","95","Thaaha, 3 kurang kata maa, 87 ","CONTINUE",,"2026-04-02 23:04:06.079","2026-04-02 23:11:29.705"
"cmni3etq000052sskdvqfwari","2026-04-03 00:00:00","ZIYADAH","cmnfdv508000o2spzdcuc7slj","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","355","356","2","96","An Nur 47","CONTINUE",,"2026-04-02 23:15:25.56","2026-04-02 23:15:25.56"
"cmni3mt6n00062ssk7cy6r5wh","2026-04-03 00:00:00","ZIYADAH","cmnfdrk29000e2spz9409ilmo","cmndr9ruq0001dh0szijmq8re","cmnf6imto00022rtxxyk7klzi","84","85","2","90","Ada kesalahan di ayat 83
بوجوهكم","CONTINUE",,"2026-04-02 23:21:38.111","2026-04-02 23:21:38.111"
"cmni3vucn00072ssk1iws7u8t","2026-04-03 00:00:00","ZIYADAH","cmnfe08mk00112spznm089paw","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","266","271","6","98","Bagus ","CONTINUE",,"2026-04-02 23:28:39.527","2026-04-02 23:28:39.527"
"cmni49zpu00082sskjubijdxo","2026-04-03 00:00:00","ZIYADAH","cmnfdz2bz000y2spz5skmlcyp","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","282","285","4","92","Al Isro 30, 38","CONTINUE",,"2026-04-02 23:39:39.666","2026-04-02 23:39:39.666"
"cmni4ja0e00092sskojdifdzn","2026-04-03 00:00:00","ZIYADAH","cmnfdvuav000q2spz042slavn","cmndr9ruq0001dh0szijmq8re","cmnf6imto00022rtxxyk7klzi","467","471","5","90","","CONTINUE",,"2026-04-02 23:46:52.91","2026-04-02 23:46:52.91"
"cmni4zwvf000a2sskor54blwc","2026-04-03 00:00:00","ZIYADAH","cmnfdtsm8000j2spzqjrqifoe","cmndr9ruq0001dh0szijmq8re","cmnf6imto00022rtxxyk7klzi","95","96","2","60","An Nisa 102, macet
","REPEAT",,"2026-04-02 23:59:49.035","2026-04-02 23:59:49.035"
